Latency,Interval
18446744056030676992,18446744073709549568
18446744056030676992,0
18446744056030674944,18446744073709549568
18446744056030674944,0
18446744056030672896,18446744073709549568
18446744056030672896,0
18446744056030672896,0
18446744056030670848,18446744073709549568
18446744056030670848,0
18446744056030668800,18446744073709549568
18446744056030668800,0
18446744056030666752,18446744073709549568
18446744056030666752,0
18446744056030664704,18446744073709549568
18446744056030664704,0
18446744056030664704,0
18446744056030662656,18446744073709549568
18446744056030662656,0
18446744056030627840,18446744073709516800
18446744056030625792,18446744073709549568
18446744056030625792,0
18446744056030625792,0
18446744056030625792,0
18446744056030623744,18446744073709549568
18446744056030623744,0
18446744056030623744,0
18446744056030621696,18446744073709549568
18446744056030621696,0
18446744056030619648,18446744073709549568
18446744056030619648,0
18446744056030619648,0
18446744056030617600,18446744073709549568
18446744056030617600,0
18446744056030615552,18446744073709549568
18446744056030615552,0
18446744056030615552,0
18446744056030613504,18446744073709549568
18446744056030613504,0
18446744056030613504,0
18446744056030611456,18446744073709549568
18446744056030611456,0
18446744056030611456,0
18446744056030609408,18446744073709549568
18446744056030609408,0
18446744056030609408,0
18446744056030607360,18446744073709549568
18446744056030607360,0
18446744056030607360,0
18446744056030607360,0
18446744056030605312,18446744073709549568
18446744056030605312,0
18446744056030605312,0
18446744056030603264,18446744073709549568
18446744056030603264,0
18446744056030601216,18446744073709549568
18446744056030601216,0
18446744056030601216,0
18446744056030599168,18446744073709549568
18446744056030599168,0
18446744056030597120,18446744073709549568
18446744056030597120,0
18446744056030597120,0
18446744056030595072,18446744073709549568
18446744056030595072,0
18446744056030595072,0
18446744056030593024,18446744073709549568
18446744056030593024,0
18446744056030593024,0
18446744056030590976,18446744073709549568
18446744056030590976,0
18446744056030590976,0
18446744056030588928,18446744073709549568
18446744056030588928,0
18446744056030588928,0
18446744056030586880,18446744073709549568
18446744056030586880,0
18446744056030586880,0
18446744056030584832,18446744073709549568
18446744056030584832,0
18446744056030582784,18446744073709549568
18446744056030582784,0
18446744056030582784,0
18446744056030580736,18446744073709549568
