Latency,LatencyAdj,Interval
2511778,18446744073705623394,12
2511790,18446744073705613406,12
2511802,18446744073705603418,12
2511818,18446744073705593434,16
2512118,18446744073705583734,300
2512222,18446744073705573838,104
2512238,18446744073705563854,16
2512254,18446744073705553870,16
2512266,18446744073705543882,12
2512282,18446744073705533898,16
2512290,18446744073705523906,8
2512302,18446744073705513918,12
2512642,18446744073705504258,340
2512658,18446744073705494274,16
2512694,18446744073705484310,36
2512726,18446744073705474342,32
2512750,18446744073705464366,24
2513690,18446744073705455306,940
2513834,18446744073705445450,144
2513854,18446744073705435470,20
2513870,18446744073705425486,16
2513910,18446744073705415526,40
2513922,18446744073705405538,12
2513934,18446744073705395550,12
2514486,18446744073705386102,552
2514502,18446744073705376118,16
2514510,18446744073705366126,8
2514530,18446744073705356146,20
2514538,18446744073705346154,8
2514778,18446744073705336394,240
2514794,18446744073705326410,16
2514806,18446744073705316422,12
2514834,18446744073705306450,28
2514842,18446744073705296458,8
2514854,18446744073705286470,12
2514862,18446744073705276478,8
2514874,18446744073705266490,12
2515218,18446744073705256834,344
2515234,18446744073705246850,16
2516182,18446744073705237798,948
2516446,18446744073705228062,264
2516462,18446744073705218078,16
2516478,18446744073705208094,16
2516490,18446744073705198106,12
2516506,18446744073705188122,16
2516518,18446744073705178134,12
2516530,18446744073705168146,12
2516866,18446744073705158482,336
2516882,18446744073705148498,16
2517846,18446744073705139462,964
2517862,18446744073705129478,16
2517874,18446744073705119490,12
2517882,18446744073705109498,8
2517902,18446744073705099518,20
2518806,18446744073705090422,904
2518826,18446744073705080442,20
2518842,18446744073705070458,16
2518854,18446744073705060470,12
2519738,18446744073705051354,884
2519750,18446744073705041366,12
2519762,18446744073705031378,12
2519778,18446744073705021394,16
2520750,18446744073705012366,972
2520766,18446744073705002382,16
2520786,18446744073704992402,20
2521762,18446744073704983378,976
2521778,18446744073704973394,16
2521790,18446744073704963406,12
2521802,18446744073704953418,12
2522722,18446744073704944338,920
2522738,18446744073704934354,16
2523662,18446744073704925278,924
2524030,18446744073704915646,368
2524066,18446744073704905682,36
2525006,18446744073704896622,940
2525026,18446744073704886642,20
2525058,18446744073704876674,32
2525070,18446744073704866686,12
2525102,18446744073704856718,32
2526034,18446744073704847650,932
2526050,18446744073704837666,16
2526066,18446744073704827682,16
2526102,18446744073704817718,36
2527074,18446744073704808690,972
2527098,18446744073704798714,24
2527102,18446744073704788718,4
2527122,18446744073704778738,20
2527986,18446744073704769602,864
2528002,18446744073704759618,16
2528038,18446744073704749654,36
2528054,18446744073704739670,16
2528966,18446744073704730582,912
2529030,18446744073704720646,64
2529046,18446744073704710662,16
2529058,18446744073704700674,12
2530010,18446744073704691626,952
2530022,18446744073704681638,12
2530058,18446744073704671674,36
2530074,18446744073704661690,16
2530982,18446744073704652598,908
2530994,18446744073704642610,12
2531018,18446744073704632634,24
2531046,18446744073704622662,28
2531922,18446744073704613538,876
2531958,18446744073704603574,36
2531974,18446744073704593590,16
2532090,18446744073704583706,116
2533010,18446744073704574626,920
2533074,18446744073704564690,64
2533094,18446744073704554710,20
2533102,18446744073704544718,8
2534006,18446744073704535622,904
2534018,18446744073704525634,12
2534034,18446744073704515650,16
2534046,18446744073704505662,12
2534906,18446744073704496522,860
2534918,18446744073704486534,12
2534934,18446744073704476550,16
2534942,18446744073704466558,8
2535874,18446744073704457490,932
2535894,18446744073704447510,20
2535906,18446744073704437522,12
2536830,18446744073704428446,924
2536850,18446744073704418466,20
2536866,18446744073704408482,16
2536878,18446744073704398494,12
2537778,18446744073704389394,900
2537794,18446744073704379410,16
2537822,18446744073704369438,28
2537846,18446744073704359462,24
2538806,18446744073704350422,960
2538818,18446744073704340434,12
2538830,18446744073704330446,12
2538846,18446744073704320462,16
2539906,18446744073704311522,1060
2539922,18446744073704301538,16
2540074,18446744073704291690,152
2540082,18446744073704281698,8
2540982,18446744073704272598,900
2541014,18446744073704262630,32
2541034,18446744073704252650,20
2541050,18446744073704242666,16
2541962,18446744073704233578,912
2541974,18446744073704223590,12
2541986,18446744073704213602,12
2542002,18446744073704203618,16
2542902,18446744073704194518,900
2542918,18446744073704184534,16
2542930,18446744073704174546,12
2543818,18446744073704165434,888
2543834,18446744073704155450,16
2543850,18446744073704145466,16
2543862,18446744073704135478,12
2545106,18446744073704126722,1244
2545122,18446744073704116738,16
2545142,18446744073704106758,20
2545154,18446744073704096770,12
2546186,18446744073704087802,1032
2546194,18446744073704077810,8
2546206,18446744073704067822,12
2546222,18446744073704057838,16
2546238,18446744073704047854,16
2547198,18446744073704038814,960
2547210,18446744073704028826,12
2547230,18446744073704018846,20
2547238,18446744073704008854,8
2547250,18446744073703998866,12
2548170,18446744073703989786,920
2548182,18446744073703979798,12
2548218,18446744073703969834,36
2548234,18446744073703959850,16
2549182,18446744073703950798,948
2549246,18446744073703940862,64
2549262,18446744073703930878,16
2549274,18446744073703920890,12
2550238,18446744073703911854,964
2550262,18446744073703901878,24
2550294,18446744073703891910,32
2550310,18446744073703881926,16
2551290,18446744073703872906,980
2551310,18446744073703862926,20
2551322,18446744073703852938,12
2551334,18446744073703842950,12
2552298,18446744073703833914,964
2552310,18446744073703823926,12
2552326,18446744073703813942,16
2552342,18446744073703803958,16
2553278,18446744073703794894,936
2553590,18446744073703785206,312
2553606,18446744073703775222,16
2553618,18446744073703765234,12
2554478,18446744073703756094,860
2554534,18446744073703746150,56
2554546,18446744073703736162,12
2554566,18446744073703726182,20
2554578,18446744073703716194,12
2554590,18446744073703706206,12
2555578,18446744073703697194,988
2555590,18446744073703687206,12
2555602,18446744073703677218,12
2556570,18446744073703668186,968
2556582,18446744073703658198,12
2556622,18446744073703648238,40
2557582,18446744073703639198,960
2557598,18446744073703629214,16
2557650,18446744073703619266,52
2557710,18446744073703609326,60
2558634,18446744073703600250,924
2558662,18446744073703590278,28
2558710,18446744073703580326,48
2558722,18446744073703570338,12
2559682,18446744073703561298,960
2559694,18446744073703551310,12
2559710,18446744073703541326,16
2559726,18446744073703531342,16
2560678,18446744073703522294,952
2560690,18446744073703512306,12
2560706,18446744073703502322,16
2560758,18446744073703492374,52
2561690,18446744073703483306,932
2561702,18446744073703473318,12
2561718,18446744073703463334,16
2561750,18446744073703453366,32
2561762,18446744073703443378,12
2562710,18446744073703434326,948
2562718,18446744073703424334,8
2562758,18446744073703414374,40
2563674,18446744073703405290,916
2563690,18446744073703395306,16
2563702,18446744073703385318,12
2563718,18446744073703375334,16
2563734,18446744073703365350,16
2564678,18446744073703356294,944
2564722,18446744073703346338,44
2564734,18446744073703336350,12
2565690,18446744073703327306,956
2565702,18446744073703317318,12
2565746,18446744073703307362,44
2565758,18446744073703297374,12
2566654,18446744073703288270,896
2566662,18446744073703278278,8
2566674,18446744073703268290,12
2566694,18446744073703258310,20
2566710,18446744073703248326,16
2567582,18446744073703239198,872
2567598,18446744073703229214,16
2567614,18446744073703219230,16
2568546,18446744073703210162,932
2568558,18446744073703200174,12
2568582,18446744073703190198,24
2568594,18446744073703180210,12
2569474,18446744073703171090,880
2569518,18446744073703161134,44
2569534,18446744073703151150,16
2569558,18446744073703141174,24
2570446,18446744073703132062,888
2570506,18446744073703122122,60
2570518,18446744073703112134,12
2570534,18446744073703102150,16
2571486,18446744073703093102,952
2571510,18446744073703083126,24
2571518,18446744073703073134,8
2571530,18446744073703063146,12
2572414,18446744073703054030,884
2572814,18446744073703044430,400
2572830,18446744073703034446,16
2572838,18446744073703024454,8
2573758,18446744073703015374,920
2573774,18446744073703005390,16
2573790,18446744073702995406,16
2573818,18446744073702985434,28
2574702,18446744073702976318,884
2574718,18446744073702966334,16
2574734,18446744073702956350,16
2574746,18446744073702946362,12
2575666,18446744073702937282,920
2575694,18446744073702927310,28
2575706,18446744073702917322,12
2576658,18446744073702908274,952
2576678,18446744073702898294,20
2576694,18446744073702888310,16
2576706,18446744073702878322,12
2577654,18446744073702869270,948
2577674,18446744073702859290,20
2577682,18446744073702849298,8
2577718,18446744073702839334,36
2578610,18446744073702830226,892
2578626,18446744073702820242,16
2578698,18446744073702810314,72
2578754,18446744073702800370,56
2578766,18446744073702790382,12
2579722,18446744073702781338,956
2579738,18446744073702771354,16
2579758,18446744073702761374,20
2579778,18446744073702751394,20
2580754,18446744073702742370,976
2580798,18446744073702732414,44
2580814,18446744073702722430,16
2580834,18446744073702712450,20
2581766,18446744073702703382,932
2581818,18446744073702693434,52
2581830,18446744073702683446,12
2581846,18446744073702673462,16
2582774,18446744073702664390,928
2582790,18446744073702654406,16
2582802,18446744073702644418,12
2582814,18446744073702634430,12
2583770,18446744073702625386,956
2583782,18446744073702615398,12
2583794,18446744073702605410,12
2583806,18446744073702595422,12
2584738,18446744073702586354,932
2584750,18446744073702576366,12
2584762,18446744073702566378,12
2584782,18446744073702556398,20
2585742,18446744073702547358,960
2585762,18446744073702537378,20
2585778,18446744073702527394,16
2585794,18446744073702517410,16
2586674,18446744073702508290,880
2586722,18446744073702498338,48
2586754,18446744073702488370,32
2586838,18446744073702478454,84
2587762,18446744073702469378,924
2587778,18446744073702459394,16
2587798,18446744073702449414,20
2587810,18446744073702439426,12
2587818,18446744073702429434,8
2588674,18446744073702420290,856
2588694,18446744073702410310,20
2588710,18446744073702400326,16
2589610,18446744073702391226,900
2589634,18446744073702381250,24
2589702,18446744073702371318,68
2590642,18446744073702362258,940
2590662,18446744073702352278,20
2590674,18446744073702342290,12
2591622,18446744073702333238,948
2591706,18446744073702323322,84
2591714,18446744073702313330,8
2592026,18446744073702303642,312
2593002,18446744073702294618,976
2593050,18446744073702284666,48
2593074,18446744073702274690,24
2593090,18446744073702264706,16
2593102,18446744073702254718,12
2593114,18446744073702244730,12
2594078,18446744073702235694,964
2594094,18446744073702225710,16
2594138,18446744073702215754,44
2594154,18446744073702205770,16
2595022,18446744073702196638,868
2595034,18446744073702186650,12
2595054,18446744073702176670,20
2595098,18446744073702166714,44
2595138,18446744073702156754,40
2596090,18446744073702147706,952
2596166,18446744073702137782,76
2596182,18446744073702127798,16
2596238,18446744073702117854,56
2597182,18446744073702108798,944
2597210,18446744073702098826,28
2597234,18446744073702088850,24
2597246,18446744073702078862,12
2598138,18446744073702069754,892
2598166,18446744073702059782,28
2598210,18446744073702049826,44
2598222,18446744073702039838,12
2599170,18446744073702030786,948
2599182,18446744073702020798,12
2599190,18446744073702010806,8
2599206,18446744073702000822,16
2600178,18446744073701991794,972
2600486,18446744073701982102,308
2600502,18446744073701972118,16
2600518,18446744073701962134,16
2601406,18446744073701953022,888
2601442,18446744073701943058,36
2601458,18446744073701933074,16
2601466,18446744073701923082,8
2601478,18446744073701913094,12
2602374,18446744073701903990,896
2602434,18446744073701894050,60
2602458,18446744073701884074,24
2602470,18446744073701874086,12
2602490,18446744073701864106,20
2603446,18446744073701855062,956
2603462,18446744073701845078,16
2603478,18446744073701835094,16
2604362,18446744073701825978,884
2604402,18446744073701816018,40
2604414,18446744073701806030,12
2604714,18446744073701796330,300
2605690,18446744073701787306,976
2605762,18446744073701777378,72
2605774,18446744073701767390,12
2605786,18446744073701757402,12
2606678,18446744073701748294,892
2606690,18446744073701738306,12
2606702,18446744073701728318,12
2606718,18446744073701718334,16
2607686,18446744073701709302,968
2607706,18446744073701699322,20
2607718,18446744073701689334,12
2607726,18446744073701679342,8
2608662,18446744073701670278,936
2608678,18446744073701660294,16
2608746,18446744073701650362,68
2608758,18446744073701640374,12
2609674,18446744073701631290,916
2609690,18446744073701621306,16
2609742,18446744073701611358,52
2609758,18446744073701601374,16
2610702,18446744073701592318,944
2610754,18446744073701582370,52
2610766,18446744073701572382,12
2610782,18446744073701562398,16
2611750,18446744073701553366,968
2611766,18446744073701543382,16
2611802,18446744073701533418,36
2611818,18446744073701523434,16
2612806,18446744073701514422,988
2612822,18446744073701504438,16
2612834,18446744073701494450,12
2612846,18446744073701484462,12
2613762,18446744073701475378,916
2613802,18446744073701465418,40
2613818,18446744073701455434,16
2613830,18446744073701445446,12
